Time(ms) | Voltage(mV) | Event
--------------------------------
       0 |         -63 | 
       1 |       -61.2 | 
       2 |      -59.58 | 
       3 |     -58.122 | 
       4 |    -56.8098 | 
       5 |    -55.6288 | 
       6 |    -54.5659 | 
       7 |    -53.6093 | 
       8 |    -52.7484 | 
       9 |    -51.9736 | 
      10 |    -51.2762 | 
      11 |    -50.6486 | 
      12 |    -50.0837 | 
      13 |         -65 | SPIKE!
      14 |         -63 | 
      15 |       -61.2 | 
      16 |      -59.58 | 
      17 |     -58.122 | 
      18 |    -56.8098 | 
      19 |    -55.6288 | 
      20 |    -54.5659 | 
      21 |    -53.6093 | 
      22 |    -52.7484 | 
      23 |    -51.9736 | 
      24 |    -51.2762 | 
      25 |    -50.6486 | 
      26 |    -50.0837 | 
      27 |         -65 | SPIKE!
      28 |         -63 | 
      29 |       -61.2 | 
      30 |      -59.58 | 
      31 |     -58.122 | 
      32 |    -56.8098 | 
      33 |    -55.6288 | 
      34 |    -54.5659 | 
      35 |    -53.6093 | 
      36 |    -52.7484 | 
      37 |    -51.9736 | 
      38 |    -51.2762 | 
      39 |    -50.6486 | 
      40 |    -50.0837 | 
      41 |         -65 | SPIKE!
      42 |         -63 | 
      43 |       -61.2 | 
      44 |      -59.58 | 
      45 |     -58.122 | 
      46 |    -56.8098 | 
      47 |    -55.6288 | 
      48 |    -54.5659 | 
      49 |    -53.6093 | 
      50 |    -52.7484 | 
      51 |    -51.9736 | 
      52 |    -51.2762 | 
      53 |    -50.6486 | 
      54 |    -50.0837 | 
      55 |         -65 | SPIKE!
      56 |         -63 | 
      57 |       -61.2 | 
      58 |      -59.58 | 
      59 |     -58.122 | 
      60 |    -56.8098 | 
      61 |    -55.6288 | 
      62 |    -54.5659 | 
      63 |    -53.6093 | 
      64 |    -52.7484 | 
      65 |    -51.9736 | 
      66 |    -51.2762 | 
      67 |    -50.6486 | 
      68 |    -50.0837 | 
      69 |         -65 | SPIKE!
      70 |         -63 | 
      71 |       -61.2 | 
      72 |      -59.58 | 
      73 |     -58.122 | 
      74 |    -56.8098 | 
      75 |    -55.6288 | 
      76 |    -54.5659 | 
      77 |    -53.6093 | 
      78 |    -52.7484 | 
      79 |    -51.9736 | 
      80 |    -51.2762 | 
      81 |    -50.6486 | 
      82 |    -50.0837 | 
      83 |         -65 | SPIKE!
      84 |         -63 | 
      85 |       -61.2 | 
      86 |      -59.58 | 
      87 |     -58.122 | 
      88 |    -56.8098 | 
      89 |    -55.6288 | 
      90 |    -54.5659 | 
      91 |    -53.6093 | 
      92 |    -52.7484 | 
      93 |    -51.9736 | 
      94 |    -51.2762 | 
      95 |    -50.6486 | 
      96 |    -50.0837 | 
      97 |         -65 | SPIKE!
      98 |         -63 | 
      99 |       -61.2 | 
